,time,point,value
55,04:00,POINT (-2067.5876958648605 5858.6920376175785),134
56,07:00,POINT (-1670.5719329789977 2056.786442336958),134
57,05:00,POINT (-1183.6353250747331 2605.068020437779),134
58,04:00,POINT (-4140.2234961215445 6885.94831581265),134
59,01:00,POINT (-1433.577707300243 2587.8384148863092),134
60,03:00,POINT (-4329.64969008691 5070.548374610194),133
61,03:00,POINT (-1601.8745377759506 4738.945967988204),133
62,03:00,POINT (-4505.818182471621 7075.035258933246),133
63,01:00,POINT (-2414.077403801369 6211.71081880048),133
64,04:00,POINT (-375.1399391748131 1854.6659320088543),133
65,04:00,POINT (1247.7570674966007 4770.987783190005),133
66,04:00,POINT (-3329.249928833953 7758.6958694823425),133
67,01:00,POINT (-4140.2234961215445 6885.94831581265),133
68,02:00,POINT (1.9755335623945705 5341.431450701076),133
69,04:00,POINT (-3402.3674742879793 7147.916999015995),133
70,06:00,POINT (-1815.5755080958847 6209.144371499226),133
71,01:00,POINT (-68.03672015984428 4500.638259876133),132
72,01:00,POINT (18.358412861556058 94.94395411560458),132
73,01:00,POINT (-1257.2961138532453 3052.084873050113),132
74,02:00,POINT (2105.2621147090945 5334.454000089414),132
75,23:00,POINT (-100.02353737703987 3576.9071575143835),132
76,03:00,POINT (-375.1399391748131 1854.6659320088543),132
77,01:00,POINT (-388.544701171866 5274.671154781031),132
78,05:00,POINT (-378.51736739121276 5271.07121092306),132
79,02:00,POINT (-4427.173188686196 4709.640992518525),132
80,05:00,POINT (-4507.892057542517 4987.942961995617),132
81,05:00,POINT (-1178.7526125714032 4466.470304755871),132
82,01:00,POINT (-1770.813085589012 2625.994824798966),132
83,04:00,POINT (-3325.3139367657286 7597.713732215858),132
84,23:00,POINT (-1230.3858387614157 3079.8013896202624),131
85,04:00,POINT (-4357.849771294017 7214.08067138873),131
86,02:00,POINT (-1662.9076138531102 3423.306359798641),131
87,01:00,POINT (-601.5124463220997 6287.129955138983),131
88,03:00,POINT (-4427.173188686196 4709.640992518525),131
89,05:00,POINT (-489.0138575823819 5657.990232815081),131
90,04:00,POINT (-2459.039092455746 2982.023367543819),131
91,05:00,POINT (-1555.4794152338718 5688.7132394402315),131
92,04:00,POINT (1273.1741133539615 1176.0682488484108),131
93,01:00,POINT (-3570.9679069221897 7170.979313997589),131
94,04:00,POINT (-3653.7001033596434 4802.179237690303),131
95,06:00,POINT (-1037.486578142945 3616.7432205529217),131
96,01:00,POINT (-375.1399391748131 1854.6659320088543),130
97,23:00,POINT (-673.993358110065 6036.860938124659),130
98,01:00,POINT (-3266.7575817555253 6613.38394303702),130
99,00:00,POINT (-1100.628103356437 2991.8794309319906),130
100,02:00,POINT (-1706.5355089438558 5704.95317591239),130
101,05:00,POINT (-534.1316475698052 4783.913405574674),130
102,01:00,POINT (-3618.5752135830785 5701.970720981041),130
103,00:00,POINT (-4507.892057542517 4987.942961995617),130
104,02:00,POINT (-1363.6746703562285 2605.1032262421472),130
105,02:00,POINT (-2534.9703034763043 4564.285809488242),130
106,01:00,POINT (1312.2722771083413 3535.58422740479),130
107,01:00,POINT (-1706.5355089438558 5704.95317591239),130
108,05:00,POINT (-1706.5355089438558 5704.95317591239),130
109,03:00,POINT (-1561.1903194801348 2807.7740364603333),130
110,04:00,POINT (2015.3436745883612 4870.663786883867),130
111,04:00,POINT (-1558.517200825967 5600.664347152427),130
112,03:00,POINT (-92.60471318609663 5320.25623098304),130
113,00:00,POINT (-2253.5188863550516 2513.0897016854406),130
114,03:00,POINT (-4434.445745918704 4633.913400866676),130
115,06:00,POINT (-634.0344080258775 6277.753144833072),130
116,02:00,POINT (-3355.2874081961263 5228.710052429309),129
117,00:00,POINT (-2604.2263565865273 6579.042456461137),129
118,06:00,POINT (-718.0913986877977 6350.069650231923),129
119,02:00,POINT (-1598.3974946394105 3634.58685860962),129
120,01:00,POINT (-2619.9753500924985 6214.1580056298635),129
121,02:00,POINT (-1300.4389151910277 2665.7464423448714),129
122,02:00,POINT (-1037.486578142945 3616.7432205529217),129
123,01:00,POINT (-3325.3139367657286 7597.713732215858),129
124,02:00,POINT (-1561.1903194801348 2807.7740364603333),129
125,03:00,POINT (-1484.1905801153478 3873.7595190601205),129
126,03:00,POINT (-1632.563259932197 6104.204284626621),129
127,03:00,POINT (-1596.1095253257768 3807.2089986005285),128
128,03:00,POINT (-2720.3568123686973 6848.502579431824),128
129,02:00,POINT (-4114.371315827638 5745.267085235094),128
130,02:00,POINT (-3776.299250645544 7455.392427675707),128
131,01:00,POINT (-2994.597475093336 5987.857434160499),128
132,04:00,POINT (-1658.825639724064 6184.085888451759),128
133,02:00,POINT (-1525.6957374012197 1994.5285187115571),128
134,06:00,POINT (-3570.9679069221897 7170.979313997589),128
135,00:00,POINT (-1596.1095253257768 3807.2089986005285),128
136,23:00,POINT (-1558.517200825967 5600.664347152427),128
137,05:00,POINT (535.4874987111288 4426.070086468944),128
138,03:00,POINT (-4290.910483457582 5011.0737019879425),128
139,04:00,POINT (-4591.633207720222 7521.247043630944),128
140,03:00,POINT (574.8943710724894 1813.7655243245533),128
141,01:00,POINT (-3672.5742798603255 4826.3623929577825),128
142,01:00,POINT (-1837.5939136403147 6234.563888603619),128
143,01:00,POINT (535.4874987111288 4426.070086468944),128
144,01:00,POINT (955.7157859498368 338.98841714798596),128
145,02:00,POINT (-759.9703931769521 1641.7892380381643),128
146,05:00,POINT (600.1687578891527 1530.4524401615397),128
147,03:00,POINT (-3204.8464903056683 7842.437308158231),127
148,02:00,POINT (-4103.419028947852 7311.367585130046),127
149,01:00,POINT (-368.53259505516115 3629.325206786423),127
150,04:00,POINT (-1130.1193865733924 2802.8119711319755),127
151,00:00,POINT (823.9669889960232 337.7443506549204),127
152,05:00,POINT (1316.0728786715365 3227.6859640235043),127
153,04:00,POINT (27.248757157050008 5343.758699412592),127
154,04:00,POINT (-3266.7575817555253 6613.38394303702),127
155,04:00,POINT (-701.0008806512359 6324.598703209237),127
156,03:00,POINT (11.640180370107526 5229.4637979914505),127
157,03:00,POINT (-3327.5096498895246 7637.441387708559),127
158,03:00,POINT (-2343.3790704532676 5016.320865395965),127
159,02:00,POINT (-3488.304931264468 6529.420455091727),127
160,00:00,POINT (-4205.864676357434 4901.163152284308),127
161,05:00,POINT (-3329.249928833953 7758.6958694823425),127
162,04:00,POINT (1256.3141156257354 1566.7972243994398),127
163,01:00,POINT (-3397.0125136132033 7428.898526522469),127
164,04:00,POINT (-506.5525631515028 6194.309717698389),127
165,00:00,POINT (-2113.578241717062 5794.9011230812785),127
166,01:00,POINT (-1986.9963182711988 4569.521278744788),127
167,02:00,POINT (563.1687882586755 1795.5555172479515),127
168,02:00,POINT (1295.5340668071733 4748.842825210253),126
169,03:00,POINT (-1350.688345439653 1990.3876347179978),126
170,02:00,POINT (-4468.76529093504 4842.357854474624),126
171,04:00,POINT (1782.3951213881348 3414.441176959483),126
172,02:00,POINT (-4624.193055070082 4701.081892642431),126
173,00:00,POINT (-1433.577707300243 2587.8384148863092),126
174,01:00,POINT (-701.0008806512359 6324.598703209237),126
175,05:00,POINT (-583.0046403572655 6187.016515533001),126
176,02:00,POINT (-576.3353246740293 4878.177593755779),126
177,01:00,POINT (1496.9438618070185 3428.2506460665654),126
178,00:00,POINT (2182.5352931743437 5043.293217415122),126
179,03:00,POINT (-1360.9905987829304 2108.804385379679),126
180,01:00,POINT (-2632.944608595766 6288.656766845932),126
181,00:00,POINT (-1911.2298992097242 5810.175885059182),126
182,02:00,POINT (341.1115359914733 4747.94016263901),126
183,19:00,POINT (-225.9209866450221 3878.053697626113),126
184,04:00,POINT (355.6243619780982 5044.255146336895),126
185,04:00,POINT (-1527.1275555605914 2059.53529486834),126
186,01:00,POINT (1033.4080922685016 424.13877539643045),126
187,22:00,POINT (-1016.1007702949528 1448.9309138248868),126
188,23:00,POINT (1.9755335623945705 5341.431450701076),126
189,03:00,POINT (-759.9703931769521 1641.7892380381643),126
190,04:00,POINT (-1670.5719329789977 2056.786442336958),126
191,00:00,POINT (-1016.1007702949528 1448.9309138248868),126
192,03:00,POINT (-4507.892057542517 4987.942961995617),126
193,13:00,POINT (-3136.1278958093117 6671.917461867151),125
194,04:00,POINT (1415.693667885209 3334.23105911133),125
195,02:00,POINT (-1694.5109709495587 5720.470348063601),125
196,01:00,POINT (-1933.3787060780535 2790.9352349339492),125
197,00:00,POINT (616.2956028633527 2274.8909931311796),125
198,05:00,POINT (-2724.6277665310454 6866.2081834436985),125
199,03:00,POINT (355.6243619780982 5044.255146336895),125
200,04:00,POINT (605.0606339361797 424.15209856388833),125
201,00:00,POINT (2032.077021524605 5307.842344395387),125
202,06:00,POINT (-1706.5355089438558 5704.95317591239),125
203,02:00,POINT (-3266.7575817555253 6613.38394303702),125
204,02:00,POINT (-2603.385959597968 6600.858147113771),125
205,00:00,POINT (-1439.737579233963 2699.318680612109),125
206,04:00,POINT (-4493.87517195987 7603.890328314192),125
207,02:00,POINT (-1994.1685995005278 4557.090037026891),125
208,02:00,POINT (-611.3816071271943 5211.062898551801),125
209,00:00,POINT (-1351.8065031851245 2115.9050324614464),125
210,03:00,POINT (-199.80739778198915 1611.731282035355),125
211,03:00,POINT (-1782.2457785250274 1702.734863586154),125
212,05:00,POINT (-3653.7001033596434 4802.179237690303),125
213,01:00,POINT (-2618.4758035519317 6616.094271288946),125
214,03:00,POINT (-560.1527404518916 5243.697585329711),125
215,02:00,POINT (574.8943710724894 1813.7655243245533),125
216,01:00,POINT (-2374.205219303569 2585.3543368253213),125
217,00:00,POINT (-4329.64969008691 5070.548374610194),125
218,01:00,POINT (-4435.45076219274 5129.890834026021),125
219,02:00,POINT (1782.3951213881348 3414.441176959483),125
220,02:00,POINT (1273.1741133539615 1176.0682488484108),125
221,01:00,POINT (-4614.557309860481 5147.32940254623),125
222,06:00,POINT (1459.302104715404 3411.342454350615),125
223,02:00,POINT (-2724.6277665310454 6866.2081834436985),124
224,23:00,POINT (-1618.1131464263558 6082.465710436708),124
225,05:00,POINT (1496.9438618070185 3428.2506460665654),124
226,01:00,POINT (-219.47029345311603 5326.802185264626),124
227,02:00,POINT (-1275.1917678903053 3244.6584232904074),124
228,05:00,POINT (-1636.260455452556 2061.364222168615),124
229,01:00,POINT (-4124.438691699915 5663.721962555144),124
230,04:00,POINT (-1203.725149070991 3310.658116727257),124
231,01:00,POINT (-140.13417662899712 3594.783028779292),124
232,01:00,POINT (-2016.80144140617 4968.728757285944),124
233,04:00,POINT (-1425.0373135113339 2004.631970219612),124
234,02:00,POINT (1993.1409593405124 5311.325298938236),124
235,03:00,POINT (1071.7663972500707 643.2237663609594),124
236,01:00,POINT (-1336.5882074093379 3904.4779350882313),124
237,04:00,POINT (-1230.2800729737107 3319.4323014799825),124
238,02:00,POINT (-100.81570932262191 3799.2594196304344),124
239,02:00,POINT (-1558.517200825967 5600.664347152427),124
240,07:00,POINT (-2343.3790704532676 5016.320865395965),124
241,01:00,POINT (-673.993358110065 6036.860938124659),124
242,03:00,POINT (-1986.9963182711988 4569.521278744788),124
243,04:00,POINT (1305.0254988424501 3611.747815603176),124
244,04:00,POINT (-4583.176447126485 4729.65080569796),124
245,00:00,POINT (-2478.734167487001 4557.8822574757005),124
246,02:00,POINT (-562.086846930087 4876.617948618355),124
247,02:00,POINT (-2520.8523100951006 6201.628822676936),124
248,01:00,POINT (-583.0046403572655 6187.016515533001),123
249,01:00,POINT (-694.5856243594246 4887.887968912156),123
250,03:00,POINT (-4574.968826688322 7279.39539289574),123
251,04:00,POINT (-1349.3596776839165 2567.781419621334),123
252,04:00,POINT (-1815.5755080958847 6209.144371499226),123
253,02:00,POINT (-2730.2857598556793 6842.811595254248),123
254,01:00,POINT (-2286.0445170956937 5007.434540608557),123
255,02:00,POINT (-1624.6364536455433 5983.342110677975),123
256,02:00,POINT (-2994.597475093336 5987.857434160499),123
257,01:00,POINT (-2297.6257622408543 4772.2808025847835),123
258,05:00,POINT (-4425.640030585615 4645.90369996585),123
259,00:00,POINT (-1558.517200825967 5600.664347152427),123
260,02:00,POINT (-2343.3790704532676 5016.320865395965),123
261,03:00,POINT (-4586.913610841385 7601.519028694648),123
262,01:00,POINT (-767.4613794418494 4456.950323543237),123
263,03:00,POINT (-452.7197687905406 5765.433597201812),123
264,01:00,POINT (-1619.2417336779565 5673.535381976727),123
265,02:00,POINT (27.248757157050008 5343.758699412592),123
266,05:00,POINT (39.409511757463186 1082.2328031003733),123
267,04:00,POINT (-1598.3974946394105 3634.58685860962),123
268,05:00,POINT (1308.4011256519482 4426.230652612812),123
269,02:00,POINT (-1301.0783781355212 2681.9601886546184),123
270,03:00,POINT (1312.2722771083413 3535.58422740479),123
271,05:00,POINT (2142.9119426448406 4759.893826417769),123
272,04:00,POINT (732.879247406784 2084.694821357077),123
273,05:00,POINT (-3545.910685650366 6509.50131238698),123
274,02:00,POINT (-4524.690918788527 4888.139820285211),123
275,03:00,POINT (-2730.2857598556793 6842.811595254248),123
276,01:00,POINT (-4442.101274676921 5127.662279902912),123
277,23:00,POINT (-3329.249928833953 7758.6958694823425),123
278,06:00,POINT (1256.3141156257354 1566.7972243994398),123
279,01:00,POINT (-1142.1337111008247 3196.0977945056115),123
280,03:00,POINT (-4220.201403279257 5010.085908859293),123
281,04:00,POINT (341.1115359914733 4747.94016263901),123
282,03:00,POINT (-3869.350021545542 7289.065755122173),123
283,01:00,POINT (1760.9677030231485 5175.715272920123),123
284,01:00,POINT (-4440.967491126279 7506.096430807571),123
285,04:00,POINT (1771.3275804120506 3341.1956510570362),123
286,04:00,POINT (-1286.336077813878 3285.447656269636),123
287,02:00,POINT (-4574.968826688322 7279.39539289574),123
288,03:00,POINT (-3545.910685650366 6509.50131238698),122
289,04:00,POINT (-4220.201403279257 5010.085908859293),122
290,03:00,POINT (-1301.0783781355212 2681.9601886546184),122
291,02:00,POINT (-2343.405290888888 2874.5936821043138),122
292,00:00,POINT (1414.7791622923082 3331.7608931825744),122
293,05:00,POINT (-140.13417662899712 3594.783028779292),122
294,04:00,POINT (952.6721102474256 2479.660661275157),122
295,00:00,POINT (-3399.3229117910487 4826.167793855674),122
296,02:00,POINT (600.1687578891527 1530.4524401615397),122
297,02:00,POINT (-0.6024375446853782 3515.4558801586313),122
298,05:00,POINT (-3266.7575817555253 6613.38394303702),122
299,01:00,POINT (-759.9703931769521 1641.7892380381643),122
300,01:00,POINT (-3280.633214236889 7634.202670059913),122
301,07:00,POINT (-3329.249928833953 7758.6958694823425),122
302,04:00,POINT (-3780.0808063569525 7461.317081750914),122
303,01:00,POINT (-2523.7603877536035 4536.050220542302),122
304,03:00,POINT (-186.01876942421933 1524.3262297635556),122
305,03:00,POINT (-1706.5355089438558 5704.95317591239),122
306,03:00,POINT (-1660.5951122809852 6062.518353345776),122
307,01:00,POINT (1195.8718307906815 3252.6025739598585),122
308,23:00,POINT (-1016.1007702949528 1448.9309138248868),122
309,03:00,POINT (-1433.577707300243 2587.8384148863092),122
310,02:00,POINT (859.3593928785715 1623.0523610677237),122
311,04:00,POINT (1316.0728786715365 3227.6859640235043),122
312,01:00,POINT (-4603.5541335377675 7615.90258476738),122
313,06:00,POINT (2142.9119426448406 4759.893826417769),122
314,01:00,POINT (-179.65235022565383 5343.118902409721),122
315,00:00,POINT (-2509.797818991931 6818.162369026183),122
316,02:00,POINT (-4135.811558220808 6904.144972265494),122
317,02:00,POINT (-378.51736739121276 5271.07121092306),122
318,01:00,POINT (-1628.0823810173774 988.5295495794128),122
319,02:00,POINT (330.14114434449584 787.647734479416),122
320,03:00,POINT (664.1877750440672 3797.8522890989393),122
321,01:00,POINT (-603.140665680056 5132.275080109213),122
322,05:00,POINT (-3933.1271666772773 5667.194756375772),122
323,02:00,POINT (534.869503473957 4412.508707969395),122
324,04:00,POINT (1795.1297501295278 3238.4053705049837),122
325,04:00,POINT (1176.658806957914 3153.5278367726637),121
326,00:00,POINT (795.3027355381611 415.55936820390906),121
327,03:00,POINT (-1678.5790710508977 6160.480937024593),121
328,06:00,POINT (-1694.505856483093 2049.322365937635),121
329,03:00,POINT (-2439.937782920169 6217.612796442553),121
330,23:00,POINT (-3064.912565138016 6024.384022015639),121
331,03:00,POINT (-4579.353296529987 7249.023730160305),121
332,02:00,POINT (-1658.825639724064 6184.085888451759),121
333,03:00,POINT (-610.6958843652574 6040.428164981048),121
334,05:00,POINT (-3392.3560445747407 7146.532919570891),121
335,00:00,POINT (-2439.937782920169 6217.612796442553),121
336,01:00,POINT (-1525.6957374012197 1994.5285187115571),121
337,03:00,POINT (-2601.4844616292808 3065.960220454799),121
338,01:00,POINT (1267.1464684951388 3622.504787056491),121
339,02:00,POINT (-1313.184260467868 3296.323323780418),121
340,05:00,POINT (-4162.596889059098 6976.507364522276),121
341,23:00,POINT (-4196.480509607843 4895.394159486577),121
342,05:00,POINT (-4445.990440003654 4896.120899469506),121
343,04:00,POINT (-1706.5355089438558 5704.95317591239),121
344,04:00,POINT (-1706.231669342228 3788.3613135406085),121
345,06:00,POINT (-1561.1903194801348 2807.7740364603333),121
346,23:00,POINT (535.4874987111288 4426.070086468944),121
347,01:00,POINT (-4103.419028947852 7311.367585130046),121
348,23:00,POINT (571.0610495914086 1705.724395694057),121
349,01:00,POINT (-1558.517200825967 5600.664347152427),121
350,03:00,POINT (2111.100769701764 4063.0561713955035),121
351,06:00,POINT (-4575.355962850468 7098.803639486686),121
352,05:00,POINT (-1068.7657761917137 3485.8168341163882),121
353,03:00,POINT (-497.9142581915998 5932.846782489951),121
354,22:00,POINT (199.30074072700614 890.2474796102158),121
355,02:00,POINT (-3397.0125136132033 7428.898526522469),121
356,00:00,POINT (-1286.336077813878 3285.447656269636),121
357,05:00,POINT (-186.01876942421933 1524.3262297635556),121
358,01:00,POINT (-4199.1433175908305 5555.170642159958),120
359,03:00,POINT (-1360.6783257380766 2559.16323147236),120
360,02:00,POINT (-2373.464334269478 2438.527917877558),120
361,03:00,POINT (-2203.7950030510256 2828.724346546757),120
362,01:00,POINT (-1877.410051384654 3498.347374395098),120
363,03:00,POINT (-662.1165247202181 6037.240811994108),120
364,05:00,POINT (-4575.355962850468 7098.803639486686),120
365,04:00,POINT (-4575.355962850468 7098.803639486686),120
366,02:00,POINT (-1439.9430760430084 2473.1464529500436),120
367,06:00,POINT (1251.3285623378465 4909.320822311027),120
368,05:00,POINT (-2534.9703034763043 4564.285809488242),120
369,03:00,POINT (-1558.517200825967 5600.664347152427),120
370,03:00,POINT (-1962.9652693200424 4548.857435188247),120
371,01:00,POINT (1176.658806957914 3153.5278367726637),120
372,03:00,POINT (-3964.6025264990335 6565.967796707195),120
373,01:00,POINT (-1675.0510095550928 5609.338507213533),120
374,03:00,POINT (-3266.7575817555253 6613.38394303702),120
375,01:00,POINT (-1743.4527562736891 6280.741119659493),120
376,02:00,POINT (-1349.3596776839165 2567.781419621334),120
377,05:00,POINT (-3406.134480646205 7307.143561429393),120
378,01:00,POINT (-776.4882516001887 5367.657544470866),120
379,02:00,POINT (-498.4021979849775 5934.483427889883),120
380,03:00,POINT (-4573.459436358925 7347.185981322279),120
381,01:00,POINT (1414.7791622923082 3331.7608931825744),120
382,01:00,POINT (-1610.9627691619994 2820.240368942965),120
383,03:00,POINT (-3392.3560445747407 7146.532919570891),120
384,02:00,POINT (-3545.910685650366 6509.50131238698),120
385,04:00,POINT (-1183.6353250747331 2605.068020437779),120
386,00:00,POINT (18.358412861556058 94.94395411560458),120
387,01:00,POINT (-1527.1275555605914 2059.53529486834),120
388,00:00,POINT (-1113.8044992533053 4386.3620784193545),120
389,03:00,POINT (2233.1240881346425 4571.347828587747),120
390,01:00,POINT (-2407.044546962462 6202.412382551722),120
391,01:00,POINT (-2603.385959597968 6600.858147113771),120
392,02:00,POINT (-4111.228124587779 6982.239843024943),120
393,02:00,POINT (1793.6070630120769 3456.5396868773805),120
394,03:00,POINT (-3381.8055038520106 4815.506122050947),120
395,01:00,POINT (-497.9142581915998 5932.846782489951),120
396,06:00,POINT (-1196.639293482018 2875.2701617305843),120
397,04:00,POINT (-2720.3568123686973 6848.502579431824),120
398,04:00,POINT (-2724.6277665310454 6866.2081834436985),120
399,03:00,POINT (418.47646668134996 2395.880043768734),120
400,01:00,POINT (1304.2698900555138 3620.7559570413537),120
401,05:00,POINT (-662.1165247202181 6037.240811994108),119
402,23:00,POINT (-1439.9430760430084 2473.1464529500436),119
403,02:00,POINT (1274.9620550386078 4423.530931602868),119
404,03:00,POINT (-2267.7053916289133 4992.151656831476),119
405,01:00,POINT (-3329.249928833953 7758.6958694823425),119
406,00:00,POINT (-375.1399391748131 1854.6659320088543),119
407,04:00,POINT (-1113.8044992533053 4386.3620784193545),119
408,22:00,POINT (599.5116378839258 1510.0618321751404),119
409,01:00,POINT (1816.1685312652548 5171.175206952844),119
410,04:00,POINT (-4506.908302142971 5130.2781800456805),119
411,01:00,POINT (-3399.3229117910487 4826.167793855674),119
412,01:00,POINT (1256.3141156257354 1566.7972243994398),119
413,03:00,POINT (-4405.876968350579 7518.324883972582),119
414,02:00,POINT (-1178.7526125714032 4466.470304755871),119
415,07:00,POINT (-4573.459436358925 7347.185981322279),119
416,02:00,POINT (-489.0138575823819 5657.990232815081),119
417,03:00,POINT (-1295.1945501483049 3505.153319629454),119
418,04:00,POINT (-2730.2857598556793 6842.811595254248),119
419,01:00,POINT (-4576.842600777946 7235.9920524275),119
420,04:00,POINT (-3570.9679069221897 7170.979313997589),119
421,01:00,POINT (-1632.563259932197 6104.204284626621),119
422,04:00,POINT (-2363.9819437449723 2583.0203046584083),119
423,00:00,POINT (-780.8774760157667 5391.740149128877),119
424,02:00,POINT (620.1155538963543 2389.277154299279),119
425,02:00,POINT (-68.03672015984428 4500.638259876133),119
426,00:00,POINT (-433.2796618299616 1770.770016461628),119
427,06:00,POINT (-4149.69504894554 7317.352813573793),119
428,01:00,POINT (-2475.574738616793 6768.212324053232),119
429,00:00,POINT (-1230.3858387614157 3079.8013896202624),119
430,03:00,POINT (-1406.7676836208832 2518.944736137566),119
431,02:00,POINT (-1601.8745377759506 4738.945967988204),119
432,04:00,POINT (-1213.5049990750194 3378.128369851267),119
433,02:00,POINT (-1460.1537460532932 955.2875318639223),119
434,23:00,POINT (-490.60482925640764 1397.1241432443894),119
435,02:00,POINT (1500.798809887274 3323.391011908242),119
436,04:00,POINT (-744.0119196297343 5533.855381228612),119
437,03:00,POINT (1285.6383293078716 4726.877299229724),119
438,03:00,POINT (-1457.3885093196725 2674.8153128865742),119
439,06:00,POINT (-1311.5587476221624 2561.2400714292203),119
440,02:00,POINT (140.48501119579873 812.4529043932611),118
441,03:00,POINT (-603.140665680056 5132.275080109213),118
442,03:00,POINT (-2609.8899384101264 6585.511459693846),118
443,03:00,POINT (-3984.8727493916085 6566.67795061826),118
444,00:00,POINT (-2075.731181053991 3651.4496457657992),118
445,02:00,POINT (1412.644760167943 3414.0178787864565),118
446,02:00,POINT (1379.8778748152295 4712.286004027333),118
447,03:00,POINT (-558.9865959211788 4894.39338535031),118
448,03:00,POINT (-633.2420264016363 5244.171003127429),118
449,00:00,POINT (-490.60482925640764 1397.1241432443894),118
450,00:00,POINT (-4357.849771294017 7214.08067138873),118
451,03:00,POINT (-582.4788531048041 6063.40628905503),118
452,03:00,POINT (-1989.2355591009136 3092.742878158136),118
453,03:00,POINT (-1023.8165705255449 1578.3713681439597),118
454,01:00,POINT (621.9038826743756 2887.89031337703),118
455,03:00,POINT (-46.656919104017646 5327.906567472792),118
456,01:00,POINT (2142.9119426448406 4759.893826417769),118
457,02:00,POINT (148.69781890552514 4031.6814836125395),118
458,23:00,POINT (-1350.688345439653 1990.3876347179978),118
459,00:00,POINT (-1682.1128440747607 3815.387676630701),118
460,03:00,POINT (-4582.39247860098 4827.97280298465),118
461,03:00,POINT (-2373.464334269478 2438.527917877558),118
462,00:00,POINT (-4440.967491126279 7506.096430807571),118
463,04:00,POINT (-2635.26439594369 6865.210791983957),118
464,00:00,POINT (355.6243619780982 5044.255146336895),118
465,02:00,POINT (-4220.201403279257 5010.085908859293),118
466,03:00,POINT (-1425.0373135113339 2004.631970219612),118
467,06:00,POINT (1308.4011256519482 4426.230652612812),118
468,03:00,POINT (-3325.3139367657286 7597.713732215858),118
469,01:00,POINT (-495.32235550925844 5630.923968123473),118
470,07:00,POINT (-483.6070831695373 5757.9034671816335),118
471,05:00,POINT (1459.302104715404 3411.342454350615),118
472,01:00,POINT (-1198.6242486468163 3068.55143298963),118
473,01:00,POINT (-3545.910685650366 6509.50131238698),118
